No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,age,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,,,
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,14,Sporting Aclaim (GB),3,9,8.5,8,Nathan Crosse,Denis Gerard Hogan,121,0.5,Slowly away - midfield - outpaced 2f out - no impression(op 7/1),02:17.9,https://www.rp-assets.com/svg/6/9/7/88796.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,7,Waystar (IRE),4,10,29,11,Adam Grant,John C McConnell,120,3.25,Held up in rear - brief headway on near side of group 2f out - weakened 1f out(op 25/1),02:18.4,https://www.rp-assets.com/svg/5/0/1/301105.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,12,Albion Princess (GB),6,11,67,4,Yudish Geerdharry,Donal Kinsella,115,5.5,Led - went clear after 3f - reduced lead 3f out - headed 2f out - soon weakened(op 33/1),02:19.3,https://www.rp-assets.com/svg/8/3/2/22238.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,6,River Derwent (GB),7,12,41,3,James Ryan,Thomas Coyle,133,1.75,Prominent - raced in third behind clear leader after 3f - lost position 2f out - hung right and weakened over 1f out(op 33/1),02:19.6,https://www.rp-assets.com/svg/1/1/3/300311.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,9,Nyota (IRE),5,13,81,16,Jack Cleary,Tom McGuinness,122,2.25,Raced wide - midfield - dropped to rear 2f out - soon weakened(op 66/1),02:20.0,https://www.rp-assets.com/svg/8/6/7/242768.svg
,Dundalk (AW) (IRE),2025-11-19,4:55,Book Online At DundalkStadium.com Handicap (Div II),,10.5f,Standard,AW,10,Jazz Dreamers (IRE),7,14,26,12,Wesley Joyce,Seamus Fahey,120,15,Raced wide - midfield - lost ground quickly over 3f out - detached 2f out - soon eased - tailed off(op 22/1 tchd 18/1),02:22.5,https://www.rp-assets.com/svg/2/6/5/361562.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,9,Matrice (IRE),3,1,1.83,2,Declan McDonogh,Joseph Patrick O'Brien,129,0,Prominent - led going easily over 2f out - soon ridden - kept on well(op 4/5 tchd 8/11),02:35.6,https://www.rp-assets.com/svg/c/8/4/86648c.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,6,Dior Noir (IRE),3,2,12,7,Jamie Powell,Mrs Lorna Fowler,129,1.25,Towards rear - good headway over 1f out - kept on inside final furlong - nearest finish(op 16/1),02:35.8,https://www.rp-assets.com/svg/2/9/9/348992.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,10,Ready To Mingle (IRE),3,3,11,1,Nathan Crosse,W McCreery,129,1.5,In touch with leaders - headway over 1f out - weakened inside final furlong(op 15/2),02:36.1,https://www.rp-assets.com/svg/8/0/7/288708.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,8,Lily Parr (GB),3,4,4.33,3,Robbie Colgan,Ms Sheila Lavery,129,3.5,In touch with leaders - some headway inside final furlong - kept on - no impression(op 11/4),02:36.7,https://www.rp-assets.com/svg/3/9/4/235493.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,5,Clementines Dream (IRE),3,5,21,8,Wayne Lordan,M C Grassick,129,1.25,Prominent - weakened over 1f out(tchd 22/1),02:36.9,https://www.rp-assets.com/svg/1/2/3/95321.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,7,Killyclogher Rose (IRE),3,6,5.5,6,Ben Coen,A Oliver,129,7.5,Took keen hold - in touch with leaders - some headway over 1f out - soon weakened(op 7/1),02:38.1,https://www.rp-assets.com/svg/0/8/3/234380.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,3,Knockmark Angel (IRE),7,7,251,5,Adam Caffrey,Nigel Thomas Slevin,134,1,Never better than midfield(op 200/1),02:38.3,https://www.rp-assets.com/svg/0/7/8/95870.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,1,Inver Bay (IRE),6,8,301,9,Jack Kearney,Gerard Keane,131,1.5,Never better than midfield(op 200/1),02:38.5,https://www.rp-assets.com/svg/8/1/2/360218.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,4,A Pearl Starling (IRE),3,9,29,10,Shane Foley,K J Condon,129,3,Led - headed over 2f out - soon weakened(op 33/1),02:39.0,https://www.rp-assets.com/svg/4/5/0/361054.svg
,Dundalk (AW) (IRE),2025-11-19,5:25,Safer Gambling Week 2025 Fillies & Mares Maiden,,12f,Standard,AW,2,Keep It Together (IRE),7,10,251,4,Rory Cleary,D Buckley,134,12,Dwelt start - always behind(op 200/1),02:41.0,https://www.rp-assets.com/svg/0/3/2/21230.svg
,Ffos Las,2025-11-19,1:05,tigerbet.co.uk New Betting Site Maiden Hurdle (GBB Race),Class 4,16f,Soft,Turf,7,There Runs Mary (IRE),5,1,1.03,,Sean Bowen,Olly Murphy,151,0,Didn't always jump with fluency - raced in second - led after 3 out - not fluent 2 out - not fluent last - canter(op 1/20 tchd 1/40 and tchd 1/16),04:06.3,https://www.rp-assets.com/svg/b/7/9/96097b.svg
,Ffos Las,2025-11-19,1:05,tigerbet.co.uk New Betting Site Maiden Hurdle (GBB Race),Class 4,16f,Soft,Turf,6,Pipas Lescribaa (FR),6,2,15,,James Best,Harriet Dickin,151,1.75,Raced in last - headway and went second before 2 out - pressed winner before last - no extra inside final 110yds(tchd 12/1),04:06.8,https://www.rp-assets.com/svg/4/9/2/281294.svg
,Ffos Las,2025-11-19,1:05,tigerbet.co.uk New Betting Site Maiden Hurdle (GBB Race),Class 4,16f,Soft,Turf,1,Adrian (GER),8,3,26,,Ellis Collier,Bernard Llewellyn,153,11,Raced in third - briefly went second before 3 out - weakened before last(tchd 22/1),04:09.5,https://www.rp-assets.com/svg/2/1/2/336212.svg
,Ffos Las,2025-11-19,1:05,tigerbet.co.uk New Betting Site Maiden Hurdle (GBB Race),Class 4,16f,Soft,Turf,3,Elusive Knight (IRE),5,4,34,,Conor Ring,Evan Williams,158,8.5,Led - headed after 3 out - weakened before last(op 40/1),04:11.6,https://www.rp-assets.com/svg/4/4/4/129444.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,5,Esperti (IRE),8,1,7,,Sean Bowen,David Rees,153,0,Jumped right on occasions - raced in last - headway before 4 out - jumped right 3 out - ridden and pressed leader before 2 out - led before last - faced challenge inside final 110yds - kept on(op 9/2),06:36.9,https://www.rp-assets.com/svg/1/8/9/331981.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,8,Try The Money (IRE),7,2,2.62,,Kielan Woods,Henry Oliver,146,0.5,Prominent - led 3rd - headed before last - rallied and pressed winner inside final 110yds - just held(op 15/8 tchd 6/4),06:37.0,https://www.rp-assets.com/svg/2/4/6/34642.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,1,Stellar Stream (IRE),8,3,5,,James Bowen,Kayley Woollacott,168,1.25,Prominent - not fluent 13th - pressed leader before 4 out - no extra before 2 out(op 7/2),06:37.3,https://www.rp-assets.com/svg/2/7/0/326072.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,9,Dysania (IRE),10,4,23,,Brendan Powell,Mickey Bowen,142,27,Led but pestered - headed 3rd - dropped to rear before 4 out - kept on and went remote fourth after last(op 16/1),06:44.1,https://www.rp-assets.com/svg/1/3/3/229331.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,7,Benny Baloo (GB),8,5,13,,Isabel Williams,Evan Williams,153,3,In touch with leaders - not fluent 10th - not fluent 5 out - headway and went third before 4 out - weakened quickly before 3 out(op 14/1 tchd 11/1),06:44.8,https://www.rp-assets.com/svg/3/2/0/25023.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,6,Spotty Dog (GB),10,6,34,,Harry Reed,Michael Hawker,153,21,In touch with leaders - weakened before 4 out(tchd 40/1),06:50.1,https://www.rp-assets.com/svg/2/5/7/157752.svg
,Ffos Las,2025-11-19,1:35,tigerbet.co.uk Best Odds Guaranteed Handicap Chase,Class 5,24f,Soft,Turf,2,Shot Boii (IRE),8,PU,3.75,,Jack Tudor,David Pipe,168,-,In touch with leaders - dropped to rear before 13th - weakened quickly and pulled up before 4 out (jockey said gelding stopped quickly)(op 10/3 tchd 18/5),-,https://www.rp-assets.com/svg/4/0/4/283404.svg
,Ffos Las,2025-11-19,2:10,tigerbet.co.uk New Bookmaker Maiden Hurdle (GBB Race),Class 4,20f,Soft,Turf,3,Legendary Luke (IRE),5,1,5.5,,Gavin Sheehan,Jamie Snowden,158,0,Raced in second - led 5th - not fluent 4 out - ridden before 2 out - kept on(tchd 5/1),05:19.9,https://www.rp-assets.com/svg/3/3/4/363433.svg
,Ffos Las,2025-11-19,2:10,tigerbet.co.uk New Bookmaker Maiden Hurdle (GBB Race),Class 4,20f,Soft,Turf,2,Gee Force Flyer (IRE),5,2,1.57,,Sean Bowen,Olly Murphy,158,1.5,Raced in last - headway and went second before 2 out - pressed winner before last - no extra run-in(op 1/2),05:20.3,https://www.rp-assets.com/svg/7/9/7/255797.svg
,Ffos Las,2025-11-19,2:10,tigerbet.co.uk New Bookmaker Maiden Hurdle (GBB Race),Class 4,20f,Soft,Turf,4,Tamarind Bay (IRE),5,3,6.5,,James Bowen,Mickey Bowen,158,16,Led - headed 5th - not fluent 2 out - weakened before last(op 13/2 tchd 5/1),05:24.3,https://www.rp-assets.com/svg/4/4/0/195044.svg
,Ffos Las,2025-11-19,2:10,tigerbet.co.uk New Bookmaker Maiden Hurdle (GBB Race),Class 4,20f,Soft,Turf,1,Allstitchedup (GB),6,4,10,,Jack Tudor,David Pipe,158,4.75,Took keen hold - raced in third - dropped to last before 2 out - weakened before last(tchd 7/1),05:25.5,https://www.rp-assets.com/svg/8/8/7/162788.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,2,Sparkling Duke (IRE),6,1,5.5,,Sean Bowen,Kayley Woollacott,164,0,Midfield - headway after 3 out - ridden run-in - led inside final 110yds - kept on(op 11/2),05:19.0,https://www.rp-assets.com/svg/2/5/2/364252.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,4,El Bandido Pancho (GB),6,2,2.75,,Rex Dingle,Ben Clarke,160,1.25,Travelled strongly - raced in second - joined leader 6th - led before 3 out - not fluent last - headed inside final 110yds(op 6/4),05:19.3,https://www.rp-assets.com/svg/7/1/0/182017.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,3,Leech (FR),6,3,5,,Ellis Collier,Evan Williams,156,4.75,In touch with leaders - not fluent 4th - not fluent 5th - headway when not fluent 3 out - weakened final 110yds(op 10/3),05:20.5,https://www.rp-assets.com/svg/3/8/8/44883.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,7,Glengolly (GB),6,4,4,,Gavin Sheehan,Billy Aprahamian,153,14,In rear - some headway after 4 out - weakened approaching last(op 10/3 tchd 11/4),05:24.0,https://www.rp-assets.com/svg/0/6/4/2460.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,5,Kap De Triomphe (FR),5,5,29,,Jack Tudor,Christian Williams,159,0.75,Took keen hold - led - mistake when joined 6th - headed before 3 out - weakening when not fluent 2 out,05:24.2,https://www.rp-assets.com/svg/1/8/1/350181.svg
,Ffos Las,2025-11-19,2:45,tigerbet.co.uk Bet On Racing Novices' Handicap Hurdle,Class 5,20f,Soft,Turf,6,Dance In The Park (GB),7,PU,11,,James Bowen,Mickey Bowen,156,-,Always behind - pulled up before 2 out (jockey said mare hung right-handed)(op 11/1 tchd 9/1),-,https://www.rp-assets.com/svg/d/2/6/208562d.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,1,Jaipaletemps (FR),6,1,1.8,,Rian Corcoran,David Pipe,160,0,Travelled strongly - in touch with leaders - not fluent 3rd - headway before 4 out - pecked on landing and ridden 2 out - led before last - comfortably(op 10/11 tchd Evens),05:14.1,https://www.rp-assets.com/svg/4/6/0/18064.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,4,Dj Pete (IRE),7,2,9,,James Best,Sarah-Jayne Davies,165,3,Midfield - headway before 4 out - kept on and went second inside final 110yds(tchd 17/2),05:14.9,https://www.rp-assets.com/svg/5/2/2/325225.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,5,Ballywood (FR),11,3,17,,Tabitha Worsley,Georgie Howell,157,1.5,Took keen hold - prominent - pressed leader before 3rd - led 3 out - headed and no extra before last(op 18/1),05:15.2,https://www.rp-assets.com/svg/2/8/3/203382.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,2,A Great Excuse (IRE),5,4,4.2,,David Bass,Max Comley,168,7.5,Led - clear with one other before 3rd - reduced lead before 4 out - headed 3 out - pecked on landing 2 out - soon weakened(op 7/2 tchd 3/1),05:17.1,https://www.rp-assets.com/svg/3/2/6/364623.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,7,Jaunty Viking (GB),10,5,11,,Miss Thomasina Eyston,Brian Eckley,145,9.5,In rear - not fluent 5th - headway before 4 out - mistake 4 out - weakened before last,05:19.5,https://www.rp-assets.com/svg/3/5/6/62653.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,3,Ballybeen (IRE),9,PU,26,,Stan Sheppard,Matt Sheppard,167,-,In touch with leaders - lost position before 10th - weakened and pulled up before 4 out(op 22/1 tchd 28/1),-,https://www.rp-assets.com/svg/3/3/8/322833.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,8,Imperial Measure (IRE),7,PU,23,,Conor Ring,Evan Williams,144,-,Towards rear - not fluent 2nd - not fluent 4th - pecked on landing 10th - soon weakened - pulled up before 4 out (vet reported gelding bled from the nose)(op 16/1),-,https://www.rp-assets.com/svg/1/8/5/308581.svg
,Ffos Las,2025-11-19,3:18,tigerbet.co.uk Online Betting Handicap Chase,Class 5,19.5f,Soft,Turf,6,Bossofthebus (IRE),6,PU,15,,Osian Radford,Evan Williams,150,-,Didn't always jump with fluency - raced in last - not fluent 2nd - mistake 9th - weakened before 10th - pulled up before 11th (vet reported gelding lost his left-fore shoe)(op 11/1 tchd 10/1),-,https://www.rp-assets.com/svg/5/2/1/350125.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,3,Hellfire Princess (GB),8,1,23,,Conor O'Farrell,Kerry Lee,160,0,In rear - not fluent 1st - headway before 3 out - ridden and switched left and led before last - went clear inside final 110yds - comfortably(tchd 25/1),05:50.0,https://www.rp-assets.com/svg/2/6/2/13262.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,1,Followango (IRE),7,2,2.62,,Miss Eleanor Williams,Evan Williams,161,6,Led but pestered - headed and raced in second 3rd - 1 length down when left in second last - no extra inside final 110yds(op 11/8 tchd 15/8),05:51.5,https://www.rp-assets.com/svg/3/2/4/250423.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,5,Lady Harriett (GB),6,3,2.62,,Sean Bowen,Mickey Bowen,142,27,Raced in last - not fluent 4 out - headway before 3 out - weakened before 2 out - left in remote third last(op 2/1 tchd 5/4),05:58.3,https://www.rp-assets.com/svg/4/0/8/328804.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,6,Another Pearl (GB),5,4,11,,Finn Lambert,Georgina Nicholls,139,7.5,Raced in third - not fluent 4th - weakened before 3 out - not fluent 2 out(op 11/1 tchd 9/1),06:00.2,https://www.rp-assets.com/svg/6/3/7/243736.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,4,Somethingtosomeone (IRE),6,F,6.5,,Rex Dingle,Ben Clarke,156,-,Took keen hold - pressed leader - led 3rd - headed before last - not fluent and 1 length down when fell last(op 9/2 tchd 4/1),-,https://www.rp-assets.com/svg/1/2/8/351821.svg
,Ffos Las,2025-11-19,3:48,winningpost.co.uk Mares' Handicap Hurdle,Class 5,22f,Soft,Turf,2,Walkinthecotswolds (IRE),6,PU,15,,Bradley Harris,Harriet Dickin,161,-,Raced in fourth - dropped to last 7th - weakened before 4 out - pulled up before 3 out(op 16/1),-,https://www.rp-assets.com/svg/7/8/4/337487.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,6,Uniting (IRE),3,1,10,8,Ryan Kavanagh,Ian Williams,131,0,Prominent - led over 2f out - soon ridden - kept on gamely(op 8/1 tchd 15/2),01:38.7,https://www.rp-assets.com/svg/8/1/0/329018.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,3,Wilhelmina (GB),3,2,11,13,Taryn Langley,Kevin Philippart De Foy,132,0.5,Towards rear - headway over 3f out - kept on well when on near side of group inside final furlong - went second post(op 9/1 tchd 11/1),01:38.8,https://www.rp-assets.com/svg/2/4/6/347642.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,10,Atmosphere (GB),3,3,4,2,Toby Moore,Richard Spencer,125,0.05,Took keen hold - midfield - headway over 2f out - kept on and briefly went second final strides(tchd 11/4),01:38.8,https://www.rp-assets.com/svg/8/9/5/147598.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,14,Barry's Boy (IRE),3,4,26,11,Jack Nicholls,Denis Coakley,127,0.05,Towards rear - headway over 3f out - went second and pressed leader inside final furlong - lost two places final strides(op 22/1),01:38.8,https://www.rp-assets.com/svg/3/4/0/346043.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,5,Brave Byreflection (IRE),3,5,23,7,Luke Catton,Alice Haynes,135,1.5,Took keen hold - in touch with leaders - headway and pressed leader over 2f out - weakened inside final furlong(op 20/1 tchd 25/1),01:39.1,https://www.rp-assets.com/svg/0/2/6/364620.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,7,Albus Anne (GB),6,6,51,10,Donagh Murphy,Jimmy Fox,127,1.75,Slowly away - in rear - detached over 3f out - headway over 2f out - kept on inside final furlong - eyecatcher(op 33/1 tchd 66/1),01:39.5,https://www.rp-assets.com/svg/5/2/8/305825.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,2,Threatening (IRE),3,7,3.5,4,Connor Planas,Sir Mark Prescott Bt,136,0.1,Prominent - weakened over 1f out(op 10/3),01:39.6,https://www.rp-assets.com/svg/6/8/0/350086.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,4,Top Of The Class (GB),5,8,19,1,Jack Callan,Mark Loughnane,132,3.75,Midfield - headway over 2f out - weakened inside final furlong(op 14/1),01:40.3,https://www.rp-assets.com/svg/6/9/5/262596.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,9,Frostmagic (IRE),3,9,5,5,Owen Lewis,Ismail Mohammed,128,0.3,In rear - detached over 3f out - headway over 2f out - towards far side when not clear run and switched left over 1f out - kept on inside final furlong(op 7/2 tchd 10/3),01:40.3,https://www.rp-assets.com/svg/5/0/6/179605.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,11,Riyadh Gem (IRE),3,10,8,6,Rose Dawes,Faye Bramley,128,0.5,Took keen hold - in touch with leaders - weakened over 1f out(op 10/1),01:40.4,https://www.rp-assets.com/svg/3/1/7/342713.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,1,Midnight's Dream (IRE),4,11,29,9,Zacharia Clarke,Roger Varian,131,0.5,Towards rear - headway over 2f out - weakened inside final furlong(op 20/1),01:40.5,https://www.rp-assets.com/svg/1/1/2/252211.svg
,Kempton (AW),2025-11-19,4:05,Unibet Supports Safer Gambling Apprentice Handicap (Rider Restricted Race),Class 5,8f,Standard To Slow,AW,12,Dapper Gee Gee (GB),3,12,51,12,Tyrese Cameron,Tony Carroll,126,3,Took keen hold - soon led - headed over 2f out - weakened quickly over 1f out(op 66/1),01:41.1,https://www.rp-assets.com/svg/8/9/3/251398.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,1,Raging Raj (IRE),2,1,1.8,6,Kevin Stott,Jane Chapple-Hyam,135,0,Travelled strongly - midfield - going easily but not clear run repeatedly from over 2f out - switched right over 1f out - pushed along and rapid headway inside final furlong - ridden final 110yds - led final strides(op 5/4),01:40.0,https://www.rp-assets.com/svg/4/0/9/319904.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,9,Suggy (GB),2,2,6,4,Ben Sanderson,Charles Hills,129,0.2,Midfield - in touch with leaders 2f out - soon bit short of room - led over 1f out - ran on inside final furlong - headed final strides(op 11/2),01:40.0,https://www.rp-assets.com/svg/0/6/9/344960.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,3,Zipwire (IRE),2,3,23,11,Callum Hutchinson,J S Moore,135,2.75,Towards rear - headway on far side of group over 2f out - briefly led against far rail over 1f out - weakened inside final furlong,01:40.6,https://www.rp-assets.com/svg/8/6/0/326068.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,10,Reason's Power (IRE),2,4,12,5,Neil Callan,Marco Botti,128,0.5,In touch with leaders - headway 2f out - pressed leader briefly over 1f out - outpaced inside final furlong(op 7/1),01:40.7,https://www.rp-assets.com/svg/3/4/2/303243.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,12,Chilliconcarneigh (IRE),2,5,41,12,Tyler Heard,David Evans,127,1.25,Held up in rear - steady headway on near side of group from over 2f out - no extra final 110yds,01:40.9,https://www.rp-assets.com/svg/d/4/0/242504d.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,5,Tinsel (GB),2,6,11,1,Pierre-Louis Jamin,Hughie Morrison,133,0.5,Slowly away - in rear - steady headway on near side of group from 2f out - never dangerous(tchd 9/1 and tchd 11/1),01:41.0,https://www.rp-assets.com/svg/7/7/9/353977.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,7,Superstorm (GB),2,7,10,13,Mikkel Mortensen,Charlie Fellowes,125,1.5,Midfield - in touch with leaders 2f out - hung left and weakened gradually from 1f out(op 15/2),01:41.3,https://www.rp-assets.com/svg/1/8/7/339781.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,6,Who's On First (GB),2,8,26,8,Aidan Keeley,Stuart Williams,133,1.75,Prominent - not clear run 2f out - weakened 1f out(op 22/1),01:41.7,https://www.rp-assets.com/svg/8/2/0/87028.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,4,Sunshine And Roses (GB),2,9,13,10,George Bass,Jack Channon,134,0.5,Pressed leader - lost position over 1f out - soon weakened(op 8/1),01:41.8,https://www.rp-assets.com/svg/1/7/8/230871.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,8,Betty Lemon (GB),2,10,41,3,Alistair Rawlinson,Hughie Morrison,130,3,Outpaced in rear - always behind(op 33/1),01:42.4,https://www.rp-assets.com/svg/3/8/7/16783.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,13,Canderelly (GB),2,11,51,7,Joey Haynes,Chelsea Banham,121,1.5,Started quickly - led - headed over 1f out - soon weakened,01:42.7,https://www.rp-assets.com/svg/2/3/5/235532.svg
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,11,Shabti (GB),2,12,67,2,William Cox,Jonathan Portman,128,2.5,In touch with leaders - lost position over 3f out - weakened 2f out(op 40/1),01:43.2,https://www.rp-assets.com/svg/3/2/7/301723.svg
